// This is an input file for Hudson's mssel stepftn.c program
10 N0: 50000
1
n:	50 s: 0.000000 age: 0.00074
0.014195	0.0035
0.014205	0.0045
0.01421	0.0055
0.014215	0.0065
0.014225	0.0075
0.01423	0.0085
0.014245	0.0095
0.01425	0.0085
0.014255	0.0075
0.01426	0.0065
0.01427	0.0075
0.01428	0.0065
0.01429	0.0055
0.0143	0.0045
0.014305	0.0055
0.014315	0.0065
0.01432	0.0055
0.01433	0.0065
0.014355	0.0075
0.014365	0.0065
0.01437	0.0055
0.0144	0.0065
0.014405	0.0075
0.01441	0.0065
0.01442	0.0055
0.014425	0.0045
0.01443	0.0055
0.01444	0.0065
0.014445	0.0055
0.014455	0.0065
0.01446	0.0075
0.014465	0.0065
0.01447	0.0055
0.0145	0.0065
0.014505	0.0075
0.014515	0.0065
0.01452	0.0075
0.014525	0.0085
0.01453	0.0095
0.01454	0.01125
0.01455	0.01375
0.01456	0.01125
0.01457	0.01375
0.01458	0.0175
0.014605	0.01375
0.01461	0.0175
0.014625	0.01375
0.01463	0.0175
0.014635	0.01375
0.01465	0.01125
0.01467	0.01375
0.01468	0.01125
0.01472	0.01375
0.014745	0.0175
0.01475	0.01375
0.014775	0.0175
0.014795	0.01375
0.014825	0.0175
0.01486	0.025
0.01487	0.0175
0.014875	0.025
0.014925	0.035
0.01493	0.025
0.01498	0.0175
0.01499	0.025
0.014995	0.0175
0.015	0.025
0.015005	0.0175
0.01502	0.025
0.01503	0.0175
0.01505	0.025
0.0152	0.0175
0.015205	0.025
0.01521	0.0175
0.015215	0.025
0.01522	0.0175
0.01523	0.025
0.01535	0.0175
0.01536	0.025
0.01537	0.0175
0.015435	0.025
0.01544	0.0175
0.015515	0.025
0.01552	0.0175
0.01558	0.025
0.0156	0.0175
0.015625	0.01375
0.01563	0.0175
0.01573	0.025
0.015775	0.0175
0.01578	0.025
0.01579	0.0175
0.015795	0.025
0.01581	0.0175
0.01582	0.025
0.015825	0.0175
0.01586	0.01375
0.015865	0.0175
0.01588	0.01375
0.01589	0.0175
0.01594	0.025
0.015945	0.0175
0.01596	0.025
0.016135	0.0175
0.016145	0.025
0.016515	0.035
0.01652	0.025
0.016655	0.035
0.01672	0.025
0.016805	0.035
0.016815	0.025
0.01682	0.035
0.016855	0.025
0.01686	0.035
0.016865	0.025
0.01687	0.035
0.016895	0.025
0.016905	0.035
0.01691	0.025
0.01693	0.035
0.01697	0.045
0.016975	0.035
0.01704	0.025
0.017045	0.035
0.01705	0.025
0.017055	0.035
0.017125	0.045
0.01724	0.055
0.017245	0.045
0.017255	0.055
0.01728	0.045
0.017285	0.055
0.017305	0.045
0.01733	0.055
0.017365	0.065
0.01737	0.055
0.017405	0.045
0.017425	0.035
0.01745	0.025
0.01748	0.0175
0.017515	0.01375
0.01752	0.0175
0.017575	0.01375
0.01758	0.0175
0.017605	0.01375
0.017615	0.0175
0.017625	0.01375
0.01766	0.0175
0.017665	0.01375
0.01767	0.0175
0.017685	0.01375
0.01769	0.0175
0.017695	0.01375
0.017715	0.01125
0.01772	0.0095
0.01774	0.01125
0.017745	0.0095
0.01775	0.0085
0.017755	0.0075
0.01776	0.0065
0.017775	0.0075
0.01779	0.0065
0.0178	0.0055
0.01781	0.0065
0.017815	0.0055
0.01782	0.0045
0.017825	0.0035
0.017835	0.0025
0.01785	0.0035
0.01786	0.0045
0.01787	0.0035
0.017875	0.0045
0.017895	0.0055
0.0179	0.0065
0.017905	0.0055
0.017915	0.0045
0.01792	0.0055
0.017935	0.0065
0.01794	0.0075
0.017945	0.0085
0.01795	0.0095
0.01796	0.01125
0.017975	0.0095
0.01798	0.0085
0.017985	0.0095
0.01799	0.0085
0.018	0.0095
0.01801	0.0085
0.018015	0.0095
0.01802	0.0085
0.018025	0.0075
0.01803	0.0085
0.018035	0.0095
0.018045	0.0085
0.01805	0.0095
0.018055	0.0085
0.018065	0.0075
0.01807	0.0085
0.018075	0.0095
0.018085	0.0085
0.01809	0.0075
0.018105	0.0065
0.01811	0.0075
0.018115	0.0085
0.01812	0.0095
0.018125	0.01125
0.01813	0.0095
0.018135	0.0085
0.018145	0.0095
0.01815	0.01125
0.018155	0.0095
0.01816	0.01125
0.018165	0.01375
0.018175	0.01125
0.01819	0.01375
0.018195	0.01125
0.0182	0.01375
0.018205	0.01125
0.01821	0.01375
0.018235	0.01125
0.01826	0.01375
0.01827	0.0175
0.018275	0.01375
0.01829	0.0175
0.0183	0.01375
0.018305	0.0175
0.01831	0.01375
0.018325	0.0175
0.018395	0.01375
0.0184	0.0175
0.018415	0.01375
0.018435	0.0175
0.018465	0.01375
0.018475	0.01125
0.01848	0.01375
0.018495	0.0175
0.0185	0.01375
0.01851	0.0175
0.01852	0.01375
0.01854	0.0175
0.018545	0.01375
0.01855	0.0175
0.018555	0.01375
0.01859	0.0175
0.018595	0.01375
0.0186	0.0175
0.018625	0.025
0.018635	0.0175
0.01865	0.025
0.01866	0.0175
0.018675	0.01375
0.018695	0.0175
0.0187	0.01375
0.01871	0.0175
0.01874	0.025
0.018745	0.0175
0.0188	0.025
0.018805	0.0175
0.01881	0.025
0.01882	0.0175
0.018845	0.01375
0.01885	0.0175
0.018855	0.01375
0.01887	0.01125
0.018885	0.0095
0.01889	0.0085
0.018895	0.0075
0.018905	0.0085
0.018915	0.0095
0.01892	0.0085
0.01893	0.0095
0.018945	0.0085
0.01895	0.0075
0.018955	0.0065
0.01896	0.0055
0.018995	0.0045
0.019	0.0035
0.01902	0.0025
0.01903	0.0015
0.01904	0.0025
0.019065	0.0015
0.019105	0.0025
0.01911	0.0015
0.019115	0.0025
0.019125	0.0015
0.01913	0.0005
0.01916	0.0015
0.019165	0.0025
0.019175	0.0035
0.01918	0.0025
0.0192	0.0015
0.01921	0.0025
0.019225	0.0015
0.01925	0.0025
0.01926	0.0035
0.01929	0.0025
0.0193	0.0035
0.01932	0.0025
0.019345	0.0015
0.01936	0.0025
0.01937	0.0015
0.01938	0.0025
0.019395	0.0015
0.01945	0.0005
0.019455	0
n:	667 s: 0.000000 age: 0.02132
0	0.0095
1e-05	0.01125
4.5e-05	0.0095
7e-05	0.01125
7.5e-05	0.0095
8e-05	0.01125
8.5e-05	0.0095
0.0001	0.01125
0.000105	0.0095
0.000115	0.01125
0.00012	0.0095
0.00013	0.01125
0.00027	0.0095
0.000275	0.01125
0.000295	0.0095
0.00038	0.01125
0.000435	0.0095
0.00044	0.01125
0.0005	0.0095
0.000505	0.01125
0.000515	0.01375
0.00053	0.0175
0.000565	0.025
0.000645	0.035
0.00066	0.025
0.00067	0.035
0.00068	0.025
0.000685	0.035
0.00075	0.025
0.000755	0.035
0.000845	0.025
0.00085	0.035
0.000885	0.025
0.00089	0.035
0.000905	0.025
0.001095	0.035
0.00113	0.045
0.0012	0.035
0.001205	0.045
0.001255	0.055
0.001295	0.065
0.00131	0.055
0.001315	0.065
0.00132	0.055
0.00134	0.045
0.00135	0.055
0.00137	0.045
0.001395	0.055
0.00144	0.065
0.00145	0.055
0.001475	0.045
0.00148	0.055
0.00149	0.045
0.001495	0.055
0.001525	0.045
0.00153	0.055
0.001585	0.045
0.00165	0.035
0.001745	0.045
0.00177	0.035
0.0019	0.025
0.00198	0.035
0.001985	0.025
0.00203	0.035
0.002055	0.025
0.00218	0.035
0.00242	0.045
0.002425	0.035
0.00249	0.025
0.002495	0.035
0.00251	0.025
0.002535	0.035
0.002545	0.025
0.002565	0.035
0.002625	0.025
0.002675	0.035
0.002765	0.025
0.00279	0.035
0.002885	0.045
0.00289	0.035
0.002935	0.025
0.002955	0.035
0.00296	0.025
0.00299	0.035
0.003005	0.025
0.003045	0.035
0.003065	0.025
0.003075	0.035
0.00309	0.025
0.003105	0.035
0.003145	0.045
0.003155	0.035
0.003265	0.045
0.00328	0.035
0.003285	0.045
0.00331	0.035
0.00334	0.045
0.003355	0.035
0.00336	0.045
0.00337	0.035
0.003385	0.045
0.003425	0.035
0.003615	0.045
0.003635	0.035
0.00367	0.045
0.003675	0.035
0.00368	0.045
0.003705	0.035
0.00371	0.045
0.003745	0.035
0.00375	0.045
0.00379	0.035
0.0038	0.045
0.00385	0.035
0.00387	0.045
0.003915	0.035
0.004025	0.025
0.004035	0.035
0.004085	0.045
0.00417	0.055
0.004205	0.045
0.00427	0.035
0.004275	0.045
0.00428	0.035
0.004285	0.045
0.00438	0.035
0.0044	0.045
0.004405	0.035
0.004415	0.045
0.00442	0.035
0.00457	0.025
0.004575	0.035
0.004585	0.025
0.004605	0.0175
0.00461	0.025
0.004625	0.0175
0.004635	0.025
0.004675	0.0175
0.00469	0.025
0.004785	0.035
0.00486	0.025
0.004865	0.035
0.004885	0.025
0.0049	0.035
0.004915	0.025
0.00492	0.035
0.004925	0.025
0.00493	0.035
0.004945	0.025
0.00495	0.035
0.004955	0.025
0.00498	0.035
0.004985	0.025
0.005	0.035
0.00501	0.025
0.00502	0.035
0.005025	0.025
0.00503	0.035
0.005065	0.045
0.00507	0.035
0.005085	0.045
0.00509	0.035
0.00511	0.045
0.00514	0.055
0.005185	0.045
0.00519	0.055
0.0052	0.045
0.005255	0.055
0.005265	0.045
0.00527	0.055
0.005285	0.045
0.00529	0.055
0.005295	0.045
0.005305	0.055
0.00531	0.045
0.005315	0.055
0.005365	0.065
0.005385	0.055
0.00539	0.065
0.005395	0.055
0.00551	0.065
0.00554	0.075
0.00558	0.065
0.005585	0.075
0.0056	0.065
0.005625	0.055
0.005745	0.045
0.00575	0.055
0.005825	0.045
0.00583	0.055
0.00592	0.045
0.006005	0.055
0.006055	0.045
0.006145	0.035
0.006175	0.045
0.006185	0.035
0.006195	0.045
0.0062	0.035
0.006205	0.045
0.006215	0.035
0.006255	0.045
0.006345	0.055
0.00635	0.045
0.00644	0.035
0.00645	0.045
0.006455	0.035
