// This is an input file for Hudson's mssel stepftn.c program
10169 N0: 10000
1
n:	102 s: 0.000000 age: 0.011500
0.253425	0.175000
0.255575	0.250000
0.267650	0.350000
0.267900	0.250000
0.271800	0.175000
0.271925	0.250000
0.278800	0.175000
0.279050	0.250000
0.279100	0.175000
0.282875	0.125000
0.282975	0.175000
0.283200	0.125000
0.283775	0.175000
0.284025	0.125000
0.284175	0.175000
0.284425	0.125000
0.285125	0.175000
0.285200	0.125000
0.286350	0.175000
0.286400	0.125000
0.286625	0.175000
0.286725	0.125000
0.287825	0.175000
0.287975	0.125000
0.290475	0.095000
0.290600	0.125000
0.290700	0.095000
0.290725	0.125000
0.291000	0.095000
0.291025	0.125000
0.291050	0.095000
0.291325	0.125000
0.292900	0.095000
0.293100	0.125000
0.293125	0.095000
0.293150	0.125000
0.293200	0.095000
0.293450	0.125000
0.294775	0.095000
0.294925	0.125000
0.295025	0.095000
0.295650	0.125000
0.295675	0.095000
0.295725	0.125000
0.296150	0.095000
0.296175	0.125000
0.296225	0.095000
0.296450	0.125000
0.297275	0.095000
0.298200	0.125000
0.298450	0.095000
0.299075	0.125000
0.299250	0.095000
0.299425	0.125000
0.299450	0.095000
0.299650	0.125000
0.299750	0.095000
0.300100	0.125000
0.300325	0.095000
0.300375	0.085000
0.300650	0.075000
0.300675	0.085000
0.300750	0.075000
0.300850	0.085000
0.301075	0.095000
0.301125	0.085000
0.301250	0.075000
0.301500	0.085000
0.301550	0.075000
0.301625	0.085000
0.301650	0.075000
0.301750	0.085000
0.301825	0.075000
0.301850	0.085000
0.301975	0.095000
0.302400	0.125000
0.302625	0.095000
0.302775	0.085000
0.303000	0.095000
0.303175	0.085000
0.303300	0.095000
0.303425	0.125000
0.303550	0.095000
0.303775	0.125000
0.304925	0.095000
0.305000	0.125000
0.305025	0.095000
0.305050	0.125000
0.305275	0.095000
0.305700	0.085000
0.305750	0.095000
0.305825	0.085000
0.305850	0.095000
0.305875	0.085000
0.305900	0.095000
0.305950	0.085000
0.305975	0.095000
0.306025	0.085000
0.306075	0.095000
0.306275	0.125000
0.307800	0.095000
0.308075	0.125000
0.308300	0.095000
0.308900	0.125000
0.312025	0.175000
0.312300	0.125000
0.312950	0.175000
0.316275	0.125000
0.322200	0.095000
0.322250	0.125000
0.322275	0.095000
0.322300	0.125000
0.322500	0.095000
0.322700	0.085000
0.322800	0.095000
0.322925	0.125000
0.322950	0.095000
0.323050	0.085000
0.323575	0.075000
0.323600	0.085000
0.323625	0.075000
0.323950	0.085000
0.323975	0.075000
0.324050	0.085000
0.324425	0.075000
0.324475	0.085000
0.324575	0.075000
0.324675	0.085000
0.325000	0.075000
0.325050	0.085000
0.325075	0.075000
0.325100	0.085000
0.325325	0.095000
0.325675	0.125000
0.335500	0.175000
0.339950	0.250000
0.340000	0.175000
0.345575	0.125000
0.346450	0.175000
0.346525	0.125000
0.346675	0.175000
0.346800	0.125000
0.356050	0.095000
0.356325	0.125000
