REP	0
TRA	0.0071	0.0175
TRA	0.007325	0.025
TRA	0.0074	0.0175
TRA	0.007475	0.01375
TRA	0.00765	0.01125
TRA	0.0077	0.0095
TRA	0.00775	0.01125
TRA	0.0078	0.0095
TRA	0.007825	0.01125
TRA	0.007875	0.0095
TRA	0.007925	0.01125
TRA	0.008025	0.0095
TRA	0.00805	0.01125
TRA	0.008075	0.0095
TRA	0.008125	0.0085
TRA	0.00815	0.0095
TRA	0.008175	0.0085
TRA	0.008225	0.0095
TRA	0.00835	0.01125
TRA	0.008725	0.01375
TRA	0.008775	0.01125
TRA	0.0088	0.01375
TRA	0.008825	0.01125
TRA	0.00895	0.01375
TRA	0.008975	0.01125
TRA	0.009	0.01375
TRA	0.009025	0.01125
TRA	0.00905	0.01375
TRA	0.009075	0.01125
TRA	0.0091	0.01375
TRA	0.0092	0.01125
TRA	0.009225	0.01375
TRA	0.00925	0.01125
TRA	0.009275	0.01375
TRA	0.0093	0.01125
TRA	0.0094	0.01375
TRA	0.0095	0.01125
TRA	0.009625	0.01375
TRA	0.0098	0.01125
TRA	0.01005	0.01375
TRA	0.0102	0.0175
TRA	0.010525	0.025
TRA	0.01115	0.0175
TRA	0.011175	0.025
TRA	0.012275	0.035
TRA	0.0134	0.045
TRA	0.013425	0.035
TRA	0.01345	0.045
TRA	0.013525	0.035
TRA	0.014225	0.045
TRA	0.014525	0.035
TRA	0.01455	0.045
TRA	0.014575	0.035
TRA	0.0146	0.045
TRA	0.0148	0.035
TRA	0.015475	0.025
TRA	0.0155	0.035
TRA	0.015725	0.045
TRA	0.01575	0.035
TRA	0.0158	0.045
TRA	0.01585	0.035
TRA	0.015975	0.045
TRA	0.0181	0.035
TRA	0.0182	0.045
TRA	0.018225	0.035
TRA	0.01905	0.045
TRA	0.019075	0.035
TRA	0.0205	0.025
TRA	0.0212	0.035
TRA	0.021225	0.025
TRA	0.021475	0.035
TRA	0.0215	0.025
TRA	0.02155	0.035
